"","driverId","constructorId","grid","position","laps","milliseconds","rank","fastestLapSpeed"
"14220",292,32,22,"13",76,"\N","\N","\N"
"14221",293,1,20,"14",76,"\N","\N","\N"
"14222",276,66,24,"15",76,"\N","\N","\N"
"14223",223,6,9,"16",71,"\N","\N","\N"
"14224",207,73,6,"17",70,"\N","\N","\N"
"14225",172,3,23,"\N",69,"\N","\N","\N"
"14226",224,1,11,"\N",65,"\N","\N","\N"
"14227",251,25,17,"\N",55,"\N","\N","\N"
"14228",231,64,12,"\N",53,"\N","\N","\N"
"14229",197,202,13,"\N",37,"\N","\N","\N"
"14230",275,37,26,"\N",23,"\N","\N","\N"
"14231",232,3,15,"\N",22,"\N","\N","\N"
"14232",187,63,10,"\N",19,"\N","\N","\N"
"14233",230,37,7,"\N",16,"\N","\N","\N"
"14234",290,56,0,"\N",0,"\N","\N","\N"
"14235",289,26,0,"\N",0,"\N","\N","\N"
"14236",200,1,11,"1",29,"2573700","\N","\N"
"14237",235,32,16,"2",29,"2574800","\N","\N"
"14238",199,34,15,"3",28,"\N","\N","\N"
"14239",197,202,10,"4",28,"\N","\N","\N"
"14240",230,37,5,"5",28,"\N","\N","\N"
"14241",275,37,24,"6",27,"\N","\N","\N"
"14242",294,3,18,"7",27,"\N","\N","\N"
"14243",187,63,6,"8",26,"\N","\N","\N"
"14244",223,6,2,"\N",25,"\N","\N","\N"
"14245",243,26,9,"\N",25,"\N","\N","\N"
"14246",250,34,14,"\N",25,"\N","\N","\N"
"14247",252,202,8,"\N",23,"\N","\N","\N"
"14248",238,32,12,"\N",23,"\N","\N","\N"
"14249",295,57,19,"\N",20,"\N","\N","\N"
"14250",296,26,22,"\N",18,"\N","\N","\N"
"14251",207,73,4,"\N",16,"\N","\N","\N"
"14252",276,66,23,"\N",7,"\N","\N","\N"
"14253",231,64,3,"\N",6,"\N","\N","\N"
"14254",222,25,13,"\N",3,"\N","\N","\N"
"14255",288,67,17,"\N",3,"\N","\N","\N"
"14256",178,64,20,"\N",3,"\N","\N","\N"
"14257",221,25,7,"\N",1,"\N","\N","\N"
"14258",290,56,21,"\N",1,"\N","\N","\N"
"14259",232,3,25,"\N",1,"\N","\N","\N"
"14260",182,6,1,"\N",0,"\N","\N","\N"
"14261",224,1,26,"\N",0,"\N","\N","\N"
"14262",182,6,1,"1",75,"7281310","\N","\N"
"14263",224,1,9,"2",75,"7284090","\N","\N"
"14264",250,34,8,"3",75,"7299120","\N","\N"
"14265",238,32,4,"4",75,"7319760","\N","\N"
"14266",221,25,12,"5",75,"7322170","\N","\N"
"14267",200,1,15,"6",75,"7323380","\N","\N"
"14268",222,25,7,"7",74,"\N","\N","\N"
"14269",235,32,14,"8",74,"\N","\N","\N"
"14270",199,34,10,"9",73,"\N","\N","\N"
"14271",288,67,16,"\N",66,"\N","\N","\N"
"14272",231,64,11,"\N",63,"\N","\N","\N"
"14273",178,64,18,"\N",61,"\N","\N","\N"
"14274",230,37,5,"\N",48,"\N","\N","\N"
"14275",252,202,2,"\N",39,"\N","\N","\N"
"14276",223,6,17,"\N",36,"\N","\N","\N"
"14277",187,63,6,"\N",36,"\N","\N","\N"
"14278",207,73,13,"\N",9,"\N","\N","\N"
"14279",197,202,3,"\N",0,"\N","\N","\N"
"14280",172,3,0,"\N",0,"\N","\N","\N"
"14281",232,3,0,"\N",0,"\N","\N","\N"
"14282",289,75,0,"\N",0,"\N","\N","\N"
"14283",276,66,0,"\N",0,"\N","\N","\N"
"14284",295,57,0,"\N",0,"\N","\N","\N"
"14285",297,64,0,"\N",0,"\N","\N","\N"
"14286",275,37,0,"\N",0,"\N","\N","\N"
"14287",290,56,0,"\N",0,"\N","\N","\N"
"14288",182,6,1,"1",70,"6233980","\N","\N"
"14289",222,25,9,"2",70,"6253200","\N","\N"
"14290",199,34,6,"3",70,"6275800","\N","\N"
"14291",221,25,12,"4",70,"6294060","\N","\N"
"14292",223,6,4,"5",70,"6297820","\N","\N"
"14293",252,202,5,"6",70,"6322430","\N","\N"
"14294",224,1,8,"7",69,"\N","\N","\N"
"14295",250,34,2,"8",69,"\N","\N","\N"
"14296",276,66,20,"9",68,"\N","\N","\N"
"14297",187,63,18,"10",68,"\N","\N","\N"
"14298",288,67,21,"11",67,"\N","\N","\N"
"14299",290,56,24,"12",67,"\N","\N","\N"
"14300",296,75,22,"\N",57,"\N","\N","\N"
"14301",230,37,3,"\N",54,"\N","\N","\N"
"14302",235,32,16,"\N",52,"\N","\N","\N"
"14303",238,32,14,"\N",36,"\N","\N","\N"
"14304",172,3,23,"\N",18,"\N","\N","\N"
"14305",275,37,17,"\N",18,"\N","\N","\N"
"14306",294,75,7,"\N",17,"\N","\N","\N"
"14307",231,64,11,"\N",15,"\N","\N","\N"
"14308",197,202,10,"\N",13,"\N","\N","\N"
"14309",232,3,19,"\N",2,"\N","\N","\N"
"14310",178,64,13,"\N",1,"\N","\N","\N"
"14311",200,1,15,"\N",0,"\N","\N","\N"
"14312",182,6,5,"1",80,"7158319","\N","\N"
"14313",199,34,4,"2",80,"7164607","\N","\N"
"14314",223,6,12,"3",80,"7187414","\N","\N"
"14315",207,73,15,"4",80,"7202699","\N","\N"
"14316",288,67,16,"5",80,"7249082","\N","\N"
"14317",294,75,17,"6",79,"\N","\N","\N"
"14318",222,25,8,"7",79,"\N","\N","\N"
"14319",224,1,11,"8",79,"\N","\N","\N"
"14320",238,32,9,"9",79,"\N","\N","\N"
"14321",297,64,21,"10",78,"\N","\N","\N"
"14322",178,64,19,"11",78,"\N","\N","\N"
"14323",221,25,2,"12",78,"\N","\N","\N"
"14324",276,66,23,"13",78,"\N","\N","\N"
"14325",282,3,22,"14",78,"\N","\N","\N"
"14326",235,32,18,"15",77,"\N","\N","\N"
"14327",187,63,10,"16",77,"\N","\N","\N"
"14328",290,56,25,"17",74,"\N","\N","\N"
"14329",252,202,7,"\N",53,"\N","\N","\N"
"14330",251,3,20,"\N",49,"\N","\N","\N"
"14331",267,75,26,"\N",47,"\N","\N","\N"
"14332",250,34,6,"\N",41,"\N","\N","\N"
"14333",197,202,3,"\N",38,"\N","\N","\N"
"14334",230,37,1,"\N",36,"\N","\N","\N"
"14335",200,1,14,"\N",34,"\N","\N","\N"
"14336",231,64,13,"\N",21,"\N","\N","\N"
"14337",275,37,24,"\N",10,"\N","\N","\N"
"14338",231,64,3,"1",75,"6417400","\N","\N"
"14339",182,6,1,"2",75,"6418460","\N","\N"
"14340",223,6,2,"3",75,"6472460","\N","\N"
"14341",199,34,5,"4",74,"\N","\N","\N"
"14342",250,34,9,"5",74,"\N","\N","\N"
"14343",252,202,12,"6",74,"\N","\N","\N"
"14344",294,75,7,"7",74,"\N","\N","\N"
"14345",288,67,18,"8",74,"\N","\N","\N"
"14346",221,25,13,"9",73,"\N","\N","\N"
"14347",298,57,22,"10",71,"\N","\N","\N"
"14348",290,56,24,"11",71,"\N","\N","\N"
"14349",251,3,19,"12",70,"\N","\N","\N"
"14350",178,75,17,"13",70,"\N","\N","\N"
"14351",275,37,23,"14",70,"\N","\N","\N"
"14352",238,32,16,"15",69,"\N","\N","\N"
"14353",222,25,4,"16",67,"\N","\N","\N"
"14354",172,3,15,"\N",64,"\N","\N","\N"
"14355",200,1,8,"\N",61,"\N","\N","\N"
"14356",197,202,10,"\N",44,"\N","\N","\N"
"14357",187,63,14,"\N",43,"\N","\N","\N"
"14358",224,1,6,"\N",40,"\N","\N","\N"
"14359",276,66,20,"\N",23,"\N","\N","\N"
"14360",235,32,21,"\N",6,"\N","\N","\N"
"14361",230,37,11,"\N",0,"\N","\N","\N"
"14362",299,74,0,"\N",0,"\N","\N","\N"
"14363",182,6,1,"1",54,"6018840","\N","\N"
"14364",231,64,3,"2",54,"6020430","\N","\N"
"14365",200,1,7,"3",54,"6021150","\N","\N"
"14366",224,1,10,"4",54,"6058610","\N","\N"
"14367",207,73,15,"5",54,"6080920","\N","\N"
"14368",221,25,13,"6",54,"6086240","\N","\N"
"14369",294,75,12,"7",54,"6088450","\N","\N"
"14370",197,202,4,"8",54,"6098620","\N","\N"
"14371",222,25,2,"9",54,"6110520","\N","\N"
"14372",238,32,17,"10",54,"6114860","\N","\N"
"14373",172,3,16,"11",54,"6115610","\N","\N"
"14374",219,25,21,"12",54,"6115970","\N","\N"
"14375",187,63,14,"13",53,"\N","\N","\N"
"14376",199,34,11,"14",53,"\N","\N","\N"
"14377",298,57,22,"15",53,"\N","\N","\N"
"14378",178,75,20,"16",53,"\N","\N","\N"
"14379",276,66,25,"17",52,"\N","\N","\N"
"14380",275,37,26,"18",50,"\N","\N","\N"
"14381",250,34,5,"\N",26,"\N","\N","\N"
"14382",235,32,19,"\N",17,"\N","\N","\N"
"14383",290,56,23,"\N",14,"\N","\N","\N"
"14384",230,37,8,"\N",6,"\N","\N","\N"
"14385",223,6,9,"\N",6,"\N","\N","\N"
"14386",288,67,18,"\N",6,"\N","\N","\N"
"14387",252,202,6,"\N",2,"\N","\N","\N"
"14388",296,3,24,"\N",0,"\N","\N","\N"
"14389",224,1,7,"1",56,"4925000","\N","\N"
"14390",250,34,2,"2",55,"\N","\N","\N"
"14391",222,25,6,"3",55,"\N","\N","\N"
"14392",231,64,9,"4",55,"\N","\N","\N"
"14393",288,37,15,"5",55,"\N","\N","\N"
"14394",230,37,5,"6",55,"\N","\N","\N"
"14395",200,1,10,"7",55,"\N","\N","\N"
"14396",182,6,3,"8",54,"\N","\N","\N"
"14397",221,25,17,"9",54,"\N","\N","\N"
"14398",178,75,28,"10",54,"\N","\N","\N"
"14399",187,63,18,"11",54,"\N","\N","\N"
"14400",207,73,12,"12",54,"\N","\N","\N"
"14401",223,6,4,"13",54,"\N","\N","\N"
"14402",197,202,11,"14",53,"\N","\N","\N"
"14403",294,75,13,"15",53,"\N","\N","\N"
"14404",205,32,21,"16",53,"\N","\N","\N"
"14405",300,76,26,"17",51,"\N","\N","\N"
"14406",301,63,23,"18",50,"\N","\N","\N"
"14407",290,56,24,"19",50,"\N","\N","\N"
"14408",233,37,14,"\N",45,"\N","\N","\N"
"14409",302,32,25,"\N",28,"\N","\N","\N"
"14410",252,202,1,"\N",20,"\N","\N","\N"
"14411",275,37,22,"\N",18,"\N","\N","\N"
"14412",238,32,16,"\N",7,"\N","\N","\N"
"14413",172,3,19,"\N",5,"\N","\N","\N"
"14414",199,34,8,"\N",4,"\N","\N","\N"
"14415",295,57,0,"\N",0,"\N","\N","\N"
"14416",299,74,0,"\N",0,"\N","\N","\N"
"14417",199,34,10,"1",14,"6074100","\N","\N"
"14418",172,3,15,"2",14,"6171800","\N","\N"
"14419",182,6,1,"3",14,"6217400","\N","\N"
"14420",252,202,16,"4",14,"6285500","\N","\N"
"14421",178,75,21,"5",14,"6304400","\N","\N"
"14422",298,57,24,"6",14,"6379600","\N","\N"
"14423",275,37,25,"7",14,"6524500","\N","\N"
"14424",229,64,23,"8",14,"6535000","\N","\N"
"14425",221,25,4,"9",13,"\N","\N","\N"
"14426",207,73,13,"10",12,"\N","\N","\N"
"14427",231,64,9,"\N",10,"\N","\N","\N"
"14428",223,6,5,"\N",9,"\N","\N","\N"
"14429",294,75,17,"\N",9,"\N","\N","\N"
"14430",222,25,3,"\N",7,"\N","\N","\N"
"14431",197,202,12,"\N",7,"\N","\N","\N"
"14432",250,34,2,"\N",5,"\N","\N","\N"
"14433",290,56,22,"\N",4,"\N","\N","\N"
"14434",233,37,7,"\N",3,"\N","\N","\N"
"14435",224,1,8,"\N",3,"\N","\N","\N"
"14436",230,37,11,"\N",3,"\N","\N","\N"
"14437",187,32,14,"\N",2,"\N","\N","\N"
"14438",238,32,18,"\N",1,"\N","\N","\N"
"14439",288,37,19,"\N",1,"\N","\N","\N"
"14440",200,1,6,"\N",0,"\N","\N","\N"
"14441",270,3,20,"\N",0,"\N","\N","\N"
"14442",245,74,0,"\N",0,"\N","\N","\N"
"14443",230,37,8,"1",29,"3476690","\N","\N"
"14444",231,64,2,"2",29,"3503720","\N","\N"
"14445",252,202,15,"3",29,"3511540","\N","\N"
"14446",200,1,9,"4",29,"3549350","\N","\N"
"14447",238,32,13,"5",29,"3560020","\N","\N"
"14448",182,6,1,"6",29,"3566970","\N","\N"
