"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23278",822,3,11,10,53,5301656,15,213.658
"23279",154,210,7,11,53,5302587,8,215.473
"23291",1,131,1,1,56,5892618,4,193.842
"23292",3,131,2,2,56,5897138,3,194.773
"23293",817,9,3,3,56,5912310,7,193.523
"23294",20,6,6,4,56,5935752,1,198.712
"23295",4,1,12,5,56,5986571,10,191.752
"23296",832,5,10,6,56,5988742,8,193.002
"23313",1,131,1,1,71,6031402,4,187.592
"23314",3,131,2,2,71,6039756,5,187.148
"23315",817,9,4,3,71,6052260,1,190.972
"23316",830,9,3,4,71,6052725,6,186.934
"23317",20,6,7,5,71,6058715,2,187.817
"23318",8,6,6,6,71,6080778,3,187.783
"23319",807,10,5,7,71,6090293,9,186.034
"23320",822,3,8,8,71,6097014,11,185.472
"23321",13,3,9,9,71,6107608,12,185.392
"23322",815,10,12,10,71,6108200,13,185.324
"23335",1,131,1,1,71,10861335,3,181.137
"23336",3,131,2,2,71,10872790,6,179.912
"23337",830,9,4,3,71,10882816,1,181.846
"23338",815,10,9,4,71,10886681,11,178.113
"23339",20,6,5,5,71,10887669,5,179.968
"23340",832,5,15,6,71,10890495,13,177.99
"23341",807,10,8,7,71,10891162,8,178.862
"23342",817,9,6,8,71,10891821,2,181.363
"23343",831,15,21,9,71,10903955,15,177.189
"23344",4,1,10,10,71,10905767,12,178.09
"23345",822,3,11,11,71,10906627,4,180.246
"23346",839,209,22,12,71,10907144,16,176.686
"23347",826,5,14,13,71,10912527,14,177.333
"23348",825,4,18,14,71,10912890,7,179.284
"23349",836,209,19,15,71,10921833,18,176.439
"23350",18,1,17,16,71,10943329,10,178.338
"23357",1,131,1,1,55,5884013,5,190.174
"23358",3,131,2,2,55,5884452,9,189.95
"23359",20,6,5,3,55,5884856,1,192.756
"23360",830,9,6,4,55,5885698,7,190.084
"23361",817,9,3,5,55,5889328,3,190.624
"23362",8,6,4,6,55,5902829,6,190.127
"23363",807,10,7,7,55,5934127,13,188.717
"23364",815,10,8,8,55,5942789,8,189.972
"23365",13,3,10,9,55,5943449,10,189.206
"23366",4,1,9,10,55,5943909,2,191.343
"23367",154,210,14,11,55,5960790,4,190.477
"23368",821,210,13,12,55,5979126,12,188.754
"23379",20,6,2,1,57,5051672,3,220.351
"23380",1,131,1,2,57,5061647,6,219.351
"23381",822,131,3,3,57,5062922,2,220.465
"23382",8,6,4,4,57,5074065,1,220.605
"23383",830,9,5,5,57,5080499,5,219.525
"23384",13,3,7,6,57,5135058,9,216.83
"23399",1,131,1,1,56,5856158,1,205.745
"23400",20,6,2,2,56,5862408,2,205.648
"23401",830,9,16,3,56,5901350,7,202.886
"23402",817,9,5,4,56,5902193,8,202.741
"23403",8,6,4,5,56,5904234,4,204.406
"23404",822,131,3,6,56,5904966,3,204.734
"23405",832,5,11,7,56,5929051,10,201.478
"23419",20,6,3,1,57,5633374,4,207.652
"23420",1,131,2,2,57,5640034,1,209.952
"23421",822,131,1,3,57,5653771,5,207.076
"23422",8,6,5,4,57,5655849,3,207.887
"23423",817,9,4,5,57,5672720,2,208.387
"23424",13,3,8,6,57,5687700,6,206.705
"23425",815,10,18,7,57,5695980,7,205.933
"23426",154,210,9,8,57,5708239,8,205.198
"23427",807,4,7,9,57,5713562,12,204.286
"23428",839,10,14,10,57,5729085,11,204.7
"23439",822,131,3,1,52,5288743,3,216.221
"23440",20,6,1,2,52,5289360,2,216.343
"23441",8,6,2,3,52,5299743,1,217.388
"23442",1,131,4,4,52,5325063,6,213.955
"23443",830,9,7,5,52,5349159,8,213.888
"23444",815,10,9,6,52,5375531,9,213.385
"23445",839,10,10,7,52,5383747,10,213.203
"23446",807,4,8,8,52,5384931,7,213.912
"23459",1,131,1,1,66,5756497,1,200.471
"23460",20,6,2,2,66,5759987,2,200.277
"23461",817,9,6,3,66,5832317,3,200.248
"23479",20,6,2,1,78,6284340,2,159.669
"23480",8,6,1,2,78,6287485,3,159.058
"23481",817,9,5,3,78,6288085,4,158.577
"23482",822,131,3,4,78,6289857,9,157.16
"23483",830,9,4,5,78,6290539,8,157.387
"23484",832,5,6,6,78,6296378,14,156.73
"23485",1,131,13,7,78,6300141,5,158.433
"23486",154,210,8,8,78,6302490,18,155.823
"23487",13,3,14,9,78,6303785,12,156.947
"23488",825,210,11,10,78,6305783,7,157.42
"23489",835,4,16,11,78,6307077,13,156.801
"23490",839,10,15,12,78,6308065,10,157.072
"23491",815,10,7,13,78,6323429,1,160.561
"23499",1,131,1,1,70,5585154,1,210.588
"23500",822,131,3,2,70,5604937,5,206.862
"23501",817,9,6,3,70,5620451,8,206.126
"23502",20,6,2,4,70,5621061,2,210.115
"23503",815,10,8,5,70,5625630,11,205.58
"23504",839,10,9,6,70,5625870,9,205.904
"23505",8,6,4,7,70,5643786,3,208.25
"23506",807,4,10,8,70,5645528,7,206.204
"23519",817,9,10,1,51,7435573,4,206.048
"23520",822,131,2,2,51,7439477,3,207.946
"23521",840,3,8,3,51,7439582,5,205.605
"23522",20,6,4,4,51,7441549,1,208.919
"23523",1,131,1,5,51,7441761,2,208.862
"23524",839,10,7,6,51,7465871,9,204.581
